Conference,Subfield,Paper
KDD22,Information retrieval,Towards Representation Alignment and Uniformity in Collaborative Filtering
KDD22,Information systems applications,A Model-Agnostic Approach to Differentially Private Topic Mining
KDD22,Information retrieval,Make Fairness More Fair: Fair Item Utility Estimation and Exposure Re-Distribution
KDD22,Information retrieval,Towards Unified Conversational Recommender Systems via Knowledge-Enhanced Prompt Learning
KDD22,Information retrieval/Information systems applications,Improving Fairness in Graph Neural Networks via Mitigating Sensitive Attribute Leakage
KDD22,Information retrieval,Debiasing Learning for Membership Inference Attacks Against Recommender Systems
KDD22,World Wide Web,Invariant Preference Learning for General Debiasing in Recommendation
KDD22,Information retrieval,Comprehensive Fair Meta-learned Recommender System
KDD22,Information systems applications,Disentangled Dynamic Heterogeneous Graph Learning for Opioid Overdose Prediction
KDD22,Data management systems,Multi-fidelity Hierarchical Neural Processes
KDD22,Information systems applications,CLARE: A Semi-supervised Community Detection Algorithm
KDD22,Information retrieval,Self-Supervised Hypergraph Transformer for Recommender Systems
KDD22,Information systems applications,MetaPTP: An Adaptive Meta-optimized Model for Personalized Spatial Trajectory Prediction
KDD22,Information systems applications,On-Device Learning for Model Personalization with Large-Scale Cloud-Coordinated Domain Adaption
KDD22,Information retrieval/World Wide Web,HICF: Hyperbolic Informative Collaborative Filtering
KDD22,Information retrieval/World Wide Web,Numerical Tuple Extraction from Tables with Pre-training
KDD22,Information retrieval,Multi-Behavior Hypergraph-Enhanced Transformer for Sequential Recommendation
KDD22,Information retrieval/Information systems applications,TrajGAT: A Graph-based Long-term Dependency Modeling Approach for Trajectory Similarity Computation
KDD22,World Wide Web,Learning Classifiers under Delayed Feedback with a Time Window Assumption
KDD22,Information systems applications,Adaptive Model Pooling for Online Deep Anomaly Detection from a Complex Evolving Data Stream
KDD22,Information systems applications,ROLAND: Graph Learning Framework for Dynamic Graphs
KDD22,Information retrieval,MDP2 Forest: A Constrained Continuous Multi-dimensional Policy Optimization Approach for Short-video Recommendation
KDD22,Information systems applications,Dual Bidirectional Graph Convolutional Networks for Zero-shot Node Classification
KDD22,Information systems applications,M3Care: Learning with Missing Modalities in Multimodal Healthcare Data
KDD22,Information retrieval/Information systems applications,Variational Graph Author Topic Modeling
KDD22,Information systems applications,Multi-Agent Graph Convolutional Reinforcement Learning for Dynamic Electric Vehicle Charging Pricing
KDD22,Information retrieval,Counteracting User Attention Bias in Music Streaming Recommendation via Reward Modification
KDD22,Information systems applications,COSTA: Covariance-Preserving Feature Augmentation for Graph Contrastive Learning
KDD22,Information systems applications,Unsupervised Key Event Detection from Massive Text Corpora
KDD22,Information systems applications,Instant Graph Neural Networks for Dynamic Graphs
